deviceModel,MODULAIR-PM
deviceID,e00fce68744e5a13149ee7fe
deviceSN,MOD-PM-00106
timestamp_iso,sample_rh,sample_temp,sample_pres,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin1MToF,bin3MToF,bin5MToF,bin7MToF,sample_period,sample_flow,opc_temp,opc_rh,opc_pm1,opc_pm25,opc_pm10,laser_status,pm1_std,pm25_std,pm10_std,pm1_env,pm25_env,pm10_env,neph_bin0,neph_bin1,neph_bin2,neph_bin3,neph_bin4,neph_bin5,flag,fw,connection_status,iteration
2024-08-19T00:00:58Z,75.46,25.22,0.0,29.9653,2.1528,0.3472,0.0000,0.1042,0.1736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,12.6667,0.0000,5.000,5.76,30.73,56.94,4.398,6.546,7.273,620,19.0,27.0,28.0,19.0,27.0,28.0,3129.000,886.000,170.000,14.000,1.000,0.000,0,21,0,11
2024-08-19T00:01:03Z,75.49,25.21,0.0,29.3878,1.7069,0.2226,0.0742,0.1113,0.1113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6667,12.6667,10.3333,0.0000,5.000,5.39,30.74,56.97,4.167,5.867,6.364,620,20.0,32.0,32.0,20.0,31.0,32.0,3402.000,984.000,211.000,14.000,1.000,0.000,0,21,0,12
2024-08-19T00:01:08Z,75.47,25.18,0.0,32.1364,1.4722,0.1795,0.1077,0.0000,0.0359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,9.3333,10.0000,0.0000,5.000,5.57,30.73,56.96,4.273,4.889,5.035,620,20.0,35.0,37.0,19.0,32.0,37.0,3585.000,1031.000,242.000,25.000,1.000,0.000,0,21,0,1
2024-08-19T00:01:13Z,75.51,25.21,0.0,30.2817,1.6901,0.2113,0.0704,0.0704,0.0000,0.0352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,8.6667,0.0000,0.0000,5.000,5.68,30.74,56.95,4.161,5.169,5.805,620,21.0,39.0,41.0,20.0,35.0,41.0,3750.000,1085.000,244.000,36.000,2.000,0.000,0,21,0,2
2024-08-19T00:01:18Z,75.51,25.21,0.0,30.0348,1.3937,0.0348,0.0348,0.1394,0.1394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,8.3333,11.0000,0.0000,5.000,5.74,30.72,56.96,4.034,5.969,6.587,620,23.0,38.0,40.0,22.0,35.0,40.0,3849.000,1119.000,232.000,30.000,2.000,0.000,0,21,0,3
2024-08-19T00:01:23Z,75.51,25.21,0.0,29.3426,1.5917,0.1038,0.1038,0.1730,0.0346,0.0346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,11.6667,10.0000,0.0000,5.000,5.78,30.76,56.98,4.099,5.842,6.662,619,22.0,35.0,37.0,21.0,33.0,37.0,3684.000,1072.000,227.000,24.000,1.000,0.000,0,21,0,4
2024-08-19T00:01:28Z,75.51,25.19,0.0,29.2759,1.3103,0.0690,0.0000,0.1379,0.0000,0.0690,0.0345,0.0000,0.0000,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000,11.3333,5.000,5.80,30.76,56.95,3.850,5.958,23.776,620,23.0,36.0,37.0,22.0,33.0,37.0,3747.000,1108.000,246.000,20.000,1.000,0.000,0,21,0,5
2024-08-19T00:01:33Z,75.49,25.21,0.0,27.0253,1.5566,0.0331,0.1325,0.0994,0.0662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6667,9.6667,10.6667,0.0000,4.999,6.04,30.74,56.97,3.752,5.032,5.353,619,21.0,32.0,32.0,20.0,31.0,32.0,3426.000,1015.000,217.000,9.000,0.000,0.000,0,21,0,6
2024-08-19T00:01:38Z,75.50,25.21,0.0,29.1644,1.7479,0.2590,0.0324,0.0647,0.0647,0.0324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6667,10.0000,10.6667,0.0000,4.999,6.18,30.74,56.95,4.077,5.545,6.375,620,21.0,31.0,32.0,20.0,30.0,32.0,3381.000,988.000,206.000,9.000,1.000,0.000,0,21,0,7
2024-08-19T00:01:43Z,75.54,25.21,0.0,28.2529,1.9967,0.1997,0.0000,0.0666,0.0666,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,14.6667,0.0000,5.000,6.01,30.76,56.98,3.978,5.417,6.268,620,20.0,32.0,32.0,19.0,31.0,32.0,3486.000,1003.000,218.000,13.000,1.000,0.000,0,21,0,8
2024-08-19T00:01:48Z,75.50,25.19,0.0,30.9414,1.4391,0.2518,0.0720,0.1439,0.0720,0.0360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6667,9.3333,10.0000,0.0000,4.999,5.56,30.74,56.92,4.299,6.261,7.228,620,22.0,34.0,35.0,21.0,32.0,35.0,3735.000,1082.000,220.000,12.000,2.000,0.000,0,21,0,9
2024-08-19T00:01:53Z,75.48,25.23,0.0,31.0584,1.7153,0.1825,0.1460,0.0730,0.0000,0.0365,0.0730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3333,13.3333,0.0000,12.0000,5.000,5.48,30.74,56.97,4.309,6.458,11.025,620,21.0,34.0,36.0,20.0,32.0,36.0,3756.000,1087.000,239.000,23.000,3.000,1.000,0,21,0,10
2024-08-19T00:01:58Z,75.50,25.19,0.0,32.1708,1.5658,0.1779,0.1779,0.1423,0.0712,0.0356,0.0356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,9.0000,12.0000,11.6667,5.000,5.62,30.73,56.96,4.522,7.101,9.968,619,21.0,37.0,39.0,20.0,34.0,39.0,3768.000,1093.000,261.000,34.000,3.000,1.000,0,21,0,11
2024-08-19T00:02:03Z,75.52,25.21,0.0,28.6594,1.6304,0.5072,0.0362,0.0000,0.1812,0.0362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3333,9.0000,11.6667,0.0000,5.000,5.52,30.74,56.98,4.165,6.512,7.817,620,23.0,41.0,42.0,22.0,36.0,42.0,3948.000,1131.000,254.000,40.000,1.000,0.000,0,21,0,12
